Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.296840693524596,-0.0300368802523179,-0.145619523452371,0,0,0,9.55580178099991,0.0288788877283719,-5.35231243095102E-05,-9.98213326875942E-05,0.0328205429864265,1.90492007003233E-05,0.0484423188237925,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/base_link.STL,,BatteryContainment_P1-1;lidar_model-1;ZED2i-1;lidar_top-1;BodyNeckAssem-1;LegAssem-1/MotorPlaceHolder-1;LegAssem-1/HiptoBodyConnector_P3-1;LegAssem-1/MotorPlaceHolder-2;LegAssem-2/MotorPlaceHolder-1;LegAssem-2/HiptoBodyConnector_P3-1;LegAssem-2/MotorPlaceHolder-2;LegAssem-3/MotorPlaceHolder-1;LegAssem-3/HiptoBodyConnector_P3-1;LegAssem-3/MotorPlaceHolder-2;LegAssem-4/MotorPlaceHolder-1;LegAssem-4/HiptoBodyConnector_P3-1;LegAssem-4/MotorPlaceHolder-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg1_upper_link,-0.000328889665848227,0.0769193925083934,-0.0592310111145545,0,0,0,0.637697073092139,0.001682415664332,-2.01178366091836E-08,-8.08905271865633E-07,0.00180888301272588,-3.21012746181014E-05,0.000232658387311611,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/leg1_upper_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/leg1_upper_link.STL,,LegAssem-1/MotorConnector2_P3-1;LegAssem-1/MotorPlaceHolder-3;LegAssem-1/MotorConnector1_P2-1;LegAssem-1/UpperLeg_P4-1;LegAssem-1/Gear_P3-1;LegAssem-1/Bearing Placeholder-1;LegAssem-1/Bearing Placeholder-2;LegAssem-1/UpperLegCover_P4-1;LegAssem-1/Bearing Placeholder-3,leg1_upper_coordinate_system,leg1_upper_axis,leg1_upper_joint,revolute,-0.0052985106445881,0.0874999921344497,-0.159578740981509,-0.00250000113153973,0,0,base_link,0,0.999996875014651,0.00249999218659184,8,4.19,-2.094,2.094,,,,,,,,
leg1_lower_link,1.8071626651352E-06,0.000321216376702682,-0.122867335712219,0,0,0,0.138600072096363,0.000410120019152843,4.5473536128096E-11,2.1167152133378E-10,0.000415065379224809,-9.4884052073769E-07,1.7723509254257E-05,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/leg1_lower_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/leg1_lower_link.STL,,LegAssem-1/LowerLeg_P2-1;LegAssem-1/LowerLegCover_P2-1;LegAssem-1/Foot-1,leg1_lower_coordinate_system,leg1_lower_axis,leg1_lower_joint,revolute,0,0.101544682673132,-0.217746819542348,0,0,0,leg1_upper_link,0,-0.999996875014651,-0.00249999218658866,8,4.19,-2.4,2.4,,,,,,,,
leg2_upper_link,0.000127800307334136,-0.0766213988151566,-0.0599664662260584,0,0,0,0.637697073092088,0.00167741793065014,-3.35293034130304E-09,-2.13123778687488E-06,0.00180852251444854,3.99916830759615E-05,0.000238016619270677,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/leg2_upper_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/leg2_upper_link.STL,,LegAssem-2/MotorConnector2_P3-1;LegAssem-2/MotorPlaceHolder-3;LegAssem-2/MotorConnector1_P2-1;LegAssem-2/UpperLeg_P4-1;LegAssem-2/Gear_P3-1;LegAssem-2/Bearing Placeholder-1;LegAssem-2/Bearing Placeholder-2;LegAssem-2/UpperLegCover_P4-1;LegAssem-2/Bearing Placeholder-3,leg2_upper_coordinate_system,leg2_upper_axis,leg2_upper_joint,revolute,-0.0052985106445883,-0.14550000786555,-0.159578739504103,-0.00250000113153973,0,0,base_link,0,0.999996875014651,0.0024999921865892,8,4.19,-2.094,2.094,,,,,,,,
leg2_lower_link,-1.8070741751872E-06,0.000293120447475953,-0.122867406858247,0,0,0,0.138600070472283,0.000410120014674419,4.64350484301346E-11,-2.11829912607943E-10,0.000415045952396833,2.93546540399295E-06,1.77429305725465E-05,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/leg2_lower_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/leg2_lower_link.STL,,LegAssem-2/LowerLeg_P2-1;LegAssem-2/LowerLegCover_P2-1;LegAssem-2/Foot-1,leg2_lower_coordinate_system,leg2_lower_axis,leg2_lower_joint,revolute,0,-0.100454686079827,-0.218251817964039,0,0,0,leg2_upper_link,0,0.999996875014651,0.0024999921865937,8,4.19,-2.4,2.4,,,,,,,,
leg3_upper_link,0.000213744423749551,-0.0767710750716462,-0.0592143076585795,0,0,0,0.63769707309038,0.00167901538529498,-1.44334103136415E-08,2.95457124567797E-06,0.0018087126560125,3.60274341620652E-05,0.000236229023058978,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/leg3_upper_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/leg3_upper_link.STL,,LegAssem-3/MotorConnector2_P3-1;LegAssem-3/MotorPlaceHolder-3;LegAssem-3/MotorConnector1_P2-1;LegAssem-3/UpperLeg_P4-1;LegAssem-3/Gear_P3-1;LegAssem-3/Bearing Placeholder-1;LegAssem-3/Bearing Placeholder-2;LegAssem-3/UpperLegCover_P4-1;LegAssem-3/Bearing Placeholder-3,leg3_upper_coordinate_system,leg3_uppper_axix,leg3_upper_joint,revolute,-0.653298510644588,-0.145499956304788,-0.159537489631582,-0.00250000113153973,0,0,base_link,0,1,0,8,4.19,-2.094,2.094,,,,,,,,
leg3_lower_link,-1.80751626899234E-06,-1.40505594015961E-05,-0.122867754922063,0,0,0,0.138600071390485,0.000410120015739175,4.59990229103689E-11,-2.12414780803669E-10,0.000415058148288933,1.94216353348255E-06,1.77307364574072E-05,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/leg3_lower_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/leg3_lower_link.STL,,LegAssem-3/LowerLeg_P2-1;LegAssem-3/LowerLegCover_P2-1;LegAssem-3/Foot-1,leg3_lower_coordinate_system,leg3_lower_axis,leg3_lower_joint,revolute,0,-0.101000000000619,-0.217999999999799,0,0,0,leg3_upper_link,0,1,0,8,4.19,-2.4,2.4,,,,,,,,
leg4_upper_link,-9.7504266775017E-05,0.0767710750714986,-0.0597856696529951,0,0,0,0.637697073090724,0.00167704645928537,-6.6532776056013E-09,1.68413403388964E-06,0.00180871265601245,-3.60656754427788E-05,0.000238197949068602,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/leg4_upper_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/leg4_upper_link.STL,,LegAssem-4/MotorConnector2_P3-1;LegAssem-4/MotorPlaceHolder-3;LegAssem-4/MotorConnector1_P2-1;LegAssem-4/UpperLeg_P4-1;LegAssem-4/Gear_P3-1;LegAssem-4/Bearing Placeholder-1;LegAssem-4/Bearing Placeholder-2;LegAssem-4/UpperLegCover_P4-1;LegAssem-4/Bearing Placeholder-3,leg4_upper_coordinate_system,leg4_upper_axis,leg4_upper_joint,revolute,-0.653298510644588,0.0874993155699311,-0.16011998928881,-0.00250000113153973,0,0,base_link,0,-1,0,8,4.19,-2.094,2.094,,,,,,,,
leg4_lower_link,1.80678219985353E-06,1.40454489448161E-05,-0.122867755442077,0,0,0,0.138600070371378,0.000410120013926278,4.58923722253168E-11,2.10488294910008E-10,0.000415058145505505,-1.94219086793328E-06,1.77307368033849E-05,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/leg4_lower_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/leg4_lower_link.STL,,LegAssem-4/LowerLeg_P2-1;LegAssem-4/LowerLegCover_P2-1;LegAssem-4/Foot-1,leg4_lower_coordinate_system,leg4_lower_axis,leg4_lower_joint,revolute,0,0.101,-0.218,0,0,0,leg4_upper_link,0,-1,0,8,4.19,-2.4,2.4,,,,,,,,
lidar_link,0,6.93889390390723E-18,-0.012465212469709,0,0,0,0.312917256661177,0.000155231246958682,-8.60798633159279E-21,-8.49847382802701E-21,0.000155223683574369,-9.02865043564796E-21,0.000187515005510053,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/lidar_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotic_dog_urdf_8dof/meshes/lidar_link.STL,,lidar_model-1;lidar_top-1,lidar_coordinate_system,,lidar_joint,fixed,-0.045016,-0.028501,0.003928,0,0.2618,0,base_link,0,0,0,,,,,,,,,,,,
