Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.30467,-0.030518,-0.14781,0,0,0,6.7232,0.025984,-5.3522E-05,-0.000102,0.030268,1.9076E-05,0.04552,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/base_link.STL,,BodyNeckAssem-1;BatteryContainment_P1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg1_hip_link,0.0196275049021866,-0.00567975462616041,-1.85275299663112E-05,0,0,0,0.58734653248297,0.000589526602865625,0.000101348025274802,2.34425210617546E-06,0.000591298760987985,9.56317427228431E-08,0.000585621985411662,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/leg1_hip_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/leg1_hip_link.STL,,LegAssem-1/MotorPlaceHolder-1;LegAssem-1/HiptoBodyConnector_P3-1;LegAssem-1/MotorPlaceHolder-2,leg1_hip_coordinate_system,leg1_hip_axis,leg1_hip_joint,revolute,-0.0702985106445882,0.0709999928932916,-0.159578740876886,-0.00250000113154268,0,0,base_link,-1,0,0,24,4.19,-0.802,0.802,,,,,,,,
leg1_upper_link,-0.0150599977434441,0.0776250825783709,-0.0564128914220156,0,0,0,0.637697073085424,0.00159382062717598,-3.74566508478417E-06,-0.00034740880830905,0.00180942503532594,-1.26192300589173E-05,0.000320711401858783,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/leg1_upper_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/leg1_upper_link.STL,,LegAssem-1/MotorConnector2_P3-1;LegAssem-1/MotorPlaceHolder-3;LegAssem-1/MotorConnector1_P2-1;LegAssem-1/UpperLeg_P4-1;LegAssem-1/Gear_P3-1;LegAssem-1/Bearing Placeholder-1;LegAssem-1/Bearing Placeholder-2;LegAssem-1/UpperLegCover_P4-1;LegAssem-1/Bearing Placeholder-3,leg1_upper_coordinate_system,leg1_upper_axis,leg1_upper_joint,revolute,0.0650000000000225,0.0164981475956062,0.000247236548029772,0,0,0,leg1_hip_link,0,0.99988773307239,0.0149840332139225,24,4.19,-1.047,4.189,,,,,,,,
leg1_lower_link,0.122867755409418,1.40195232260498E-05,2.01730747401152E-06,0,0,0,0.1386000708686,1.77307365683994E-05,1.94196259247538E-06,2.88891813291114E-08,0.000415057038367068,7.40307303991642E-08,0.000410121126526491,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/leg1_lower_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/leg1_lower_link.STL,,LegAssem-1/LowerLeg_P2-1;LegAssem-1/LowerLegCover_P2-1;LegAssem-1/Foot-1,leg1_lower_coordinate_system,leg1_lower_axis,leg1_lower_joint,revolute,-0.054002,0.10415,-0.20967,0,0,0,leg1_upper_link,0,-0.99989,-0.014984,24,4.19,0.524,2.793,,,,,,,,
leg2_hip_link,0.0196275049438005,0.00567852757098991,0.000198623441342249,0,0,0,0.587346533671884,0.000589526601524342,-0.00010133618687556,-1.53161399413295E-06,0.000591296712756307,1.49234237251559E-07,0.000585624033994845,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/leg2_hip_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/leg2_hip_link.STL,,LegAssem-2/MotorPlaceHolder-1;LegAssem-2/HiptoBodyConnector_P3-1;LegAssem-2/MotorPlaceHolder-2,leg2_hip_coordinate_system,leg2_hip_axis,leg2_hip_joint,revolute,-0.0702985106445884,-0.129000007106708,-0.159578739608726,-0.00250000113153973,0,0,base_link,-1,0,0,24,4.19,-0.802,0.802,,,,,,,,
leg2_upper_link,-0.0149230662016454,-0.0754075742961421,-0.0596053554535,0,0,0,0.637697073080984,0.00158493479573025,1.73682875233488E-05,-0.000355341716604958,0.00180629611377546,6.91678962805769E-05,0.000332726154839123,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/leg2_upper_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/leg2_upper_link.STL,,LegAssem-2/MotorConnector2_P3-1;LegAssem-2/MotorPlaceHolder-3;LegAssem-2/MotorConnector1_P2-1;LegAssem-2/UpperLeg_P4-1;LegAssem-2/Gear_P3-1;LegAssem-2/Bearing Placeholder-1;LegAssem-2/Bearing Placeholder-2;LegAssem-2/UpperLegCover_P4-1;LegAssem-2/Bearing Placeholder-3,leg2_upper_coordinate_system,leg2_upper_axis,leg2_upper_joint,revolute,0.0650000000000007,-0.0164955526140677,-0.000383071738103535,0,0,0,leg2_hip_link,0,0.999730461458631,0.0232164689759737,24,4.19,-1.047,4.189,,,,,,,,
leg2_lower_link,0.122843081062677,-7.12137288271797E-05,0.00246138096784432,0,0,0,0.138600083742047,1.78885562300388E-05,-1.75859568631721E-06,-7.9107260952509E-06,0.000415057230964583,7.94147098792886E-08,0.000409963162117599,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/leg2_lower_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/leg2_lower_link.STL,,LegAssem-2/LowerLeg_P2-1;LegAssem-2/LowerLegCover_P2-1;LegAssem-2/Foot-1,leg2_lower_coordinate_system,leg2_lower_axis,leg2_lower_joint,revolute,-0.0551737216089953,-0.0960763654827178,-0.213190507385871,0,0,0,leg2_upper_link,0,0.999730461458631,0.0232164689759749,24,4.19,0.524,2.793,,,,,,,,
leg3_hip_link,-0.0196275048204143,0.0056762855965173,0.000278238524289293,0,0,0,0.587346532356049,0.000589526600251021,0.000101291174752142,2.95141967101577E-06,0.000591291184416775,2.4246731580901E-07,0.000585629555059017,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/leg3_hip_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/leg3_hip_link.STL,,LegAssem-3/MotorPlaceHolder-1;LegAssem-3/HiptoBodyConnector_P3-1;LegAssem-3/MotorPlaceHolder-2,leg3_hip_coordinate_system,leg3_hip_axis,leg3_hip_joint,revolute,-0.588298510644588,-0.129000007106708,-0.159578739608727,-0.00250000113153973,0,0,base_link,1,0,0,24,4.19,-0.802,0.802,,,,,,,,
leg3_upper_link,-0.0219595525095051,-0.0746711475374906,-0.0577483793153458,0,0,0,0.637697073097783,0.00147829110073019,3.19183409527566E-05,-0.000495717710836722,0.0018043186613481,8.44135282905746E-05,0.000441347302303615,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/leg3_upper_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/leg3_upper_link.STL,,LegAssem-3/MotorConnector2_P3-1;LegAssem-3/MotorPlaceHolder-3;LegAssem-3/MotorConnector1_P2-1;LegAssem-3/UpperLeg_P4-1;LegAssem-3/Gear_P3-1;LegAssem-3/Bearing Placeholder-1;LegAssem-3/Bearing Placeholder-2;LegAssem-3/UpperLegCover_P4-1;LegAssem-3/Bearing Placeholder-3,leg3_upper_coordinate_system,leg3_uppper_axix,leg3_upper_joint,revolute,-0.0649999999999997,-0.0164885416554613,-0.00061481222836432,0,0,0,leg3_hip_link,0,0.999305554876387,0.0372613471736512,24,4.19,-1.047,4.189,,,,,,,,
leg3_lower_link,0.12285899815794,-6.87106921976599E-05,0.00146566232090811,0,0,0,0.138600084230895,1.77868220982382E-05,-1.76589373510149E-06,-4.7599622480701E-06,0.000415052969949338,1.62851683286999E-07,0.000410069170128088,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/leg3_lower_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_dog_urdf/meshes/leg3_lower_link.STL,,LegAssem-3/LowerLeg_P2-1;LegAssem-3/LowerLegCover_P2-1;LegAssem-3/Foot-1,leg3_lower_coordinate_system,leg3_lower_axis,leg3_lower_joint,revolute,-0.0812832481171731,-0.0933926509169425,-0.205902516571319,0,0,0,leg3_upper_link,0,0.999305554876387,0.0372613471736559,24,4.19,0.524,2.793,,,,,,,,
